Model,Batch,Alpha,Eval,Lang,Average,Std
roberta,32,0.15,Precision,Italienisch,0.8,0.008099999999999996
roberta,64,0.15,Precision,Italienisch,0.78,0.0048000000000000265
roberta,16,0.2,Precision,Italienisch,0.82,0.0044500000000000095
roberta,32,0.2,Precision,Italienisch,0.8,0.004599999999999993
roberta,64,0.2,Precision,Italienisch,0.79,0.009399999999999964
multiflair,16,0.05,Recall,Italienisch,0.52,0.029100000000000015
multiflair,32,0.05,Recall,Italienisch,0.39,0.009849999999999998
multiflair,64,0.05,Recall,Italienisch,0.35,0.005399999999999988
multiflair,16,0.1,Recall,Italienisch,0.62,0.006899999999999962
multiflair,32,0.1,Recall,Italienisch,0.52,0.01629999999999998
multiflair,64,0.1,Recall,Italienisch,0.46,0.002950000000000008
multiflair,16,0.15,Recall,Italienisch,0.65,0.012349999999999972
multiflair,32,0.15,Recall,Italienisch,0.59,0.008850000000000025
multiflair,64,0.15,Recall,Italienisch,0.48,0.022199999999999998
multiflair,16,0.2,Recall,Italienisch,0.68,0.0024500000000000077
multiflair,32,0.2,Recall,Italienisch,0.61,0.015749999999999986
multiflair,64,0.2,Recall,Italienisch,0.54,0.009850000000000025
bert,16,0.05,Recall,Italienisch,0.72,0.0044500000000000095
bert,32,0.05,Recall,Italienisch,0.69,0.0034500000000000086
bert,64,0.05,Recall,Italienisch,0.65,0.0005000000000000004
bert,16,0.1,Recall,Italienisch,0.74,0.0030000000000000027
bert,32,0.1,Recall,Italienisch,0.73,0.006900000000000017
bert,64,0.1,Recall,Italienisch,0.69,0.0005000000000000004
bert,16,0.15,Recall,Italienisch,0.75,0.006399999999999961
bert,32,0.15,Recall,Italienisch,0.75,0.0049499999999999544
bert,64,0.15,Recall,Italienisch,0.71,0.00984999999999997
bert,16,0.2,Recall,Italienisch,0.75,0.0034500000000000086
bert,32,0.2,Recall,Italienisch,0.75,0.0005000000000000004
bert,64,0.2,Recall,Italienisch,0.73,0.008400000000000019
roberta,16,0.05,Recall,Italienisch,0.72,0.0
roberta,32,0.05,Recall,Italienisch,0.71,0.0005000000000000004
roberta,64,0.05,Recall,Italienisch,0.68,0.0015000000000000013
roberta,16,0.1,Recall,Italienisch,0.75,0.0039499999999999535
roberta,32,0.1,Recall,Italienisch,0.72,0.0005000000000000004
roberta,64,0.1,Recall,Italienisch,0.71,0.002950000000000008
roberta,16,0.15,Recall,Italienisch,0.76,0.0010000000000000009
roberta,32,0.15,Recall,Italienisch,0.75,0.02024999999999999
roberta,64,0.15,Recall,Italienisch,0.72,0.007900000000000018
roberta,16,0.2,Recall,Italienisch,0.76,0.0005000000000000004
roberta,32,0.2,Recall,Italienisch,0.75,0.003449999999999953
roberta,64,0.2,Recall,Italienisch,0.74,0.01579999999999998
multiflair,16,0.05,Accuracy,Italienisch,0.96,0.0025000000000000022
multiflair,32,0.05,Accuracy,Italienisch,0.94,0.0008500000000000174
multiflair,64,0.05,Accuracy,Italienisch,0.94,0.00040000000000001146
multiflair,16,0.1,Accuracy,Italienisch,0.96,0.00045000000000000595
multiflair,32,0.1,Accuracy,Italienisch,0.96,0.0014500000000000068
multiflair,64,0.1,Accuracy,Italienisch,0.95,0.0001000000000000445
multiflair,16,0.15,Accuracy,Italienisch,0.97,0.0009500000000000064
multiflair,32,0.15,Accuracy,Italienisch,0.96,0.0008499999999999619
multiflair,64,0.15,Accuracy,Italienisch,0.95,0.0020499999999999963
multiflair,16,0.2,Accuracy,Italienisch,0.97,0.00020000000000003348
multiflair,32,0.2,Accuracy,Italienisch,0.96,0.0013500000000000179
multiflair,64,0.2,Accuracy,Italienisch,0.96,0.0005499999999999949
bert,16,0.05,Accuracy,Italienisch,0.97,0.00034999999999996145
bert,32,0.05,Accuracy,Italienisch,0.97,0.00019999999999997797
bert,64,0.05,Accuracy,Italienisch,0.97,4.999999999999449e-05
bert,16,0.1,Accuracy,Italienisch,0.98,0.00020000000000003348
bert,32,0.1,Accuracy,Italienisch,0.97,0.00029999999999996696
bert,64,0.1,Accuracy,Italienisch,0.97,0.00019999999999997797
bert,16,0.15,Accuracy,Italienisch,0.98,0.0005000000000000004
bert,32,0.15,Accuracy,Italienisch,0.98,0.00030000000000002247
bert,64,0.15,Accuracy,Italienisch,0.97,0.0010000000000000009
bert,16,0.2,Accuracy,Italienisch,0.98,0.000250000000000028
bert,32,0.2,Accuracy,Italienisch,0.98,0.0
bert,64,0.2,Accuracy,Italienisch,0.97,0.0008999999999999564
roberta,16,0.05,Accuracy,Italienisch,0.97,0.0
roberta,32,0.05,Accuracy,Italienisch,0.97,4.999999999999449e-05
roberta,64,0.05,Accuracy,Italienisch,0.97,9.999999999998899e-05
roberta,16,0.1,Accuracy,Italienisch,0.98,0.00029999999999996696
roberta,32,0.1,Accuracy,Italienisch,0.97,4.999999999999449e-05
roberta,64,0.1,Accuracy,Italienisch,0.97,0.00019999999999997797
roberta,16,0.15,Accuracy,Italienisch,0.98,0.000250000000000028
roberta,32,0.15,Accuracy,Italienisch,0.98,0.0017499999999999738
roberta,64,0.15,Accuracy,Italienisch,0.97,0.0007500000000000284
roberta,16,0.2,Accuracy,Italienisch,0.98,9.999999999998899e-05
roberta,32,0.2,Accuracy,Italienisch,0.98,0.00040000000000001146
roberta,64,0.2,Accuracy,Italienisch,0.98,0.0012500000000000289
multiflair,16,0.05,F1-Werte (micro),Spanisch,0.65,0.028749999999999998
multiflair,32,0.05,F1-Werte (micro),Spanisch,0.55,0.0044500000000000095
multiflair,64,0.05,F1-Werte (micro),Spanisch,0.5,0.012750000000000011
multiflair,16,0.1,F1-Werte (micro),Spanisch,0.7,0.0013500000000000179
multiflair,32,0.1,F1-Werte (micro),Spanisch,0.65,0.009099999999999997
multiflair,64,0.1,F1-Werte (micro),Spanisch,0.6,0.009500000000000008
multiflair,16,0.15,F1-Werte (micro),Spanisch,0.72,0.005949999999999955
multiflair,32,0.15,F1-Werte (micro),Spanisch,0.68,0.00034999999999996145
multiflair,64,0.15,F1-Werte (micro),Spanisch,0.61,0.010199999999999987
multiflair,16,0.2,F1-Werte (micro),Spanisch,0.73,0.0026499999999999857
multiflair,32,0.2,F1-Werte (micro),Spanisch,0.7,0.016100000000000003
multiflair,64,0.2,F1-Werte (micro),Spanisch,0.66,0.004750000000000032
bert,16,0.05,F1-Werte (micro),Spanisch,0.73,0.00039999999999995595
bert,32,0.05,F1-Werte (micro),Spanisch,0.72,4.999999999999449e-05
bert,64,0.05,F1-Werte (micro),Spanisch,0.69,0.0010999999999999899
bert,16,0.1,F1-Werte (micro),Spanisch,0.76,0.0028499999999999637
bert,32,0.1,F1-Werte (micro),Spanisch,0.74,0.003500000000000003
bert,64,0.1,F1-Werte (micro),Spanisch,0.72,0.003699999999999981
bert,16,0.15,F1-Werte (micro),Spanisch,0.76,0.003300000000000025
bert,32,0.15,F1-Werte (micro),Spanisch,0.76,0.004300000000000026
bert,64,0.15,F1-Werte (micro),Spanisch,0.73,0.0016999999999999793
bert,16,0.2,F1-Werte (micro),Spanisch,0.76,0.006950000000000012
bert,32,0.2,F1-Werte (micro),Spanisch,0.75,0.00045000000000000595
bert,64,0.2,F1-Werte (micro),Spanisch,0.74,0.0020999999999999908
roberta,16,0.05,F1-Werte (micro),Spanisch,0.77,0.0031500000000000417
roberta,32,0.05,F1-Werte (micro),Spanisch,0.76,0.0023500000000000187
roberta,64,0.05,F1-Werte (micro),Spanisch,0.73,0.00385000000000002
roberta,16,0.1,F1-Werte (micro),Spanisch,0.78,0.00605
roberta,32,0.1,F1-Werte (micro),Spanisch,0.76,0.004799999999999971
roberta,64,0.1,F1-Werte (micro),Spanisch,0.76,0.005349999999999966
roberta,16,0.15,F1-Werte (micro),Spanisch,0.78,4.999999999999449e-05
roberta,32,0.15,F1-Werte (micro),Spanisch,0.78,0.010099999999999998
roberta,64,0.15,F1-Werte (micro),Spanisch,0.76,0.008250000000000035
roberta,16,0.2,F1-Werte (micro),Spanisch,0.78,0.000250000000000028
roberta,32,0.2,F1-Werte (micro),Spanisch,0.78,0.007199999999999984
roberta,64,0.2,F1-Werte (micro),Spanisch,0.78,0.005500000000000005
multiflair,16,0.05,Precision,Spanisch,0.77,0.01655000000000001
multiflair,32,0.05,Precision,Spanisch,0.73,0.02100000000000002
multiflair,64,0.05,Precision,Spanisch,0.68,0.028049999999999964
multiflair,16,0.1,Precision,Spanisch,0.78,0.009599999999999997
multiflair,32,0.1,Precision,Spanisch,0.77,0.0020000000000000018
multiflair,64,0.1,Precision,Spanisch,0.74,0.017500000000000016
multiflair,16,0.15,Precision,Spanisch,0.78,0.0016999999999999793
multiflair,32,0.15,Precision,Spanisch,0.77,0.0047499999999999765
multiflair,64,0.15,Precision,Spanisch,0.75,0.0005499999999999949
multiflair,16,0.2,Precision,Spanisch,0.79,0.010000000000000009
multiflair,32,0.2,Precision,Spanisch,0.78,0.01419999999999999
multiflair,64,0.2,Precision,Spanisch,0.78,0.011199999999999988
bert,16,0.05,Precision,Spanisch,0.77,0.0019500000000000073
bert,32,0.05,Precision,Spanisch,0.76,0.0008500000000000174
bert,64,0.05,Precision,Spanisch,0.75,0.002599999999999991
bert,16,0.1,Precision,Spanisch,0.79,0.006900000000000017
bert,32,0.1,Precision,Spanisch,0.78,0.000749999999999973
bert,64,0.1,Precision,Spanisch,0.76,0.003950000000000009
bert,16,0.15,Precision,Spanisch,0.78,0.0024500000000000077
bert,32,0.15,Precision,Spanisch,0.79,0.0044500000000000095
bert,64,0.15,Precision,Spanisch,0.76,0.0006000000000000449
bert,16,0.2,Precision,Spanisch,0.79,0.007500000000000007
bert,32,0.2,Precision,Spanisch,0.78,0.003200000000000036
bert,64,0.2,Precision,Spanisch,0.77,0.0024500000000000077
roberta,16,0.05,Precision,Spanisch,0.78,0.0039499999999999535
roberta,32,0.05,Precision,Spanisch,0.77,0.003599999999999992
roberta,64,0.05,Precision,Spanisch,0.75,0.003500000000000003
roberta,16,0.1,Precision,Spanisch,0.79,0.0025000000000000022
roberta,32,0.1,Precision,Spanisch,0.78,0.008050000000000002
roberta,64,0.1,Precision,Spanisch,0.78,0.0048000000000000265
roberta,16,0.15,Precision,Spanisch,0.8,0.0011999999999999789
roberta,32,0.15,Precision,Spanisch,0.79,0.005100000000000049
roberta,64,0.15,Precision,Spanisch,0.78,0.007050000000000001
roberta,16,0.2,Precision,Spanisch,0.79,0.0006999999999999784
roberta,32,0.2,Precision,Spanisch,0.8,0.009800000000000031
roberta,64,0.2,Precision,Spanisch,0.79,0.0019500000000000073
multiflair,16,0.05,Recall,Spanisch,0.56,0.03425
multiflair,32,0.05,Recall,Spanisch,0.44,0.0017500000000000016
multiflair,64,0.05,Recall,Spanisch,0.39,0.006500000000000006
multiflair,16,0.1,Recall,Spanisch,0.63,0.004149999999999987
multiflair,32,0.1,Recall,Spanisch,0.56,0.012400000000000022
multiflair,64,0.1,Recall,Spanisch,0.51,0.005299999999999971
multiflair,16,0.15,Recall,Spanisch,0.66,0.008850000000000025
multiflair,32,0.15,Recall,Spanisch,0.61,0.003550000000000053
multiflair,64,0.15,Recall,Spanisch,0.51,0.014149999999999996
multiflair,16,0.2,Recall,Spanisch,0.69,0.002950000000000008
multiflair,32,0.2,Recall,Spanisch,0.64,0.01715
multiflair,64,0.2,Recall,Spanisch,0.57,0.0011999999999999789
bert,16,0.05,Recall,Spanisch,0.7,0.0023500000000000187
bert,32,0.05,Recall,Spanisch,0.68,0.0005999999999999894
bert,64,0.05,Recall,Spanisch,0.65,0.0
bert,16,0.1,Recall,Spanisch,0.73,0.0005999999999999894
bert,32,0.1,Recall,Spanisch,0.71,0.007099999999999995
bert,64,0.1,Recall,Spanisch,0.68,0.0035499999999999976
bert,16,0.15,Recall,Spanisch,0.73,0.0040999999999999925
bert,32,0.15,Recall,Spanisch,0.73,0.0041500000000000425
bert,64,0.15,Recall,Spanisch,0.69,0.0035499999999999976
bert,16,0.2,Recall,Spanisch,0.73,0.006450000000000011
bert,32,0.2,Recall,Spanisch,0.72,0.0035499999999999976
bert,64,0.2,Recall,Spanisch,0.71,0.0017499999999999738
roberta,16,0.05,Recall,Spanisch,0.75,0.0023500000000000187
roberta,32,0.05,Recall,Spanisch,0.74,0.0011500000000000399
roberta,64,0.05,Recall,Spanisch,0.7,0.0041500000000000425
roberta,16,0.1,Recall,Spanisch,0.77,0.009449999999999958
roberta,32,0.1,Recall,Spanisch,0.75,0.0018000000000000238
roberta,64,0.1,Recall,Spanisch,0.74,0.005900000000000016
roberta,16,0.15,Recall,Spanisch,0.77,0.0011999999999999789
roberta,32,0.15,Recall,Spanisch,0.76,0.014749999999999985
roberta,64,0.15,Recall,Spanisch,0.74,0.009449999999999958
roberta,16,0.2,Recall,Spanisch,0.76,0.0012000000000000344
roberta,32,0.2,Recall,Spanisch,0.77,0.004699999999999982
roberta,64,0.2,Recall,Spanisch,0.76,0.008850000000000025
multiflair,16,0.05,Accuracy,Spanisch,0.95,0.0031999999999999806
multiflair,32,0.05,Accuracy,Spanisch,0.94,4.999999999999449e-05
multiflair,64,0.05,Accuracy,Spanisch,0.94,0.0008499999999999619
multiflair,16,0.1,Accuracy,Spanisch,0.96,0.00024999999999997247
multiflair,32,0.1,Accuracy,Spanisch,0.95,0.0009500000000000064
multiflair,64,0.1,Accuracy,Spanisch,0.95,0.0006999999999999784
multiflair,16,0.15,Accuracy,Spanisch,0.96,0.000749999999999973
multiflair,32,0.15,Accuracy,Spanisch,0.96,0.00035000000000001696
multiflair,64,0.15,Accuracy,Spanisch,0.95,0.0014500000000000068
multiflair,16,0.2,Accuracy,Spanisch,0.96,0.00034999999999996145
multiflair,32,0.2,Accuracy,Spanisch,0.96,0.0019000000000000128
multiflair,64,0.2,Accuracy,Spanisch,0.95,0.00040000000000001146
bert,16,0.05,Accuracy,Spanisch,0.96,0.0
bert,32,0.05,Accuracy,Spanisch,0.96,4.999999999999449e-05
bert,64,0.05,Accuracy,Spanisch,0.96,4.999999999999449e-05
bert,16,0.1,Accuracy,Spanisch,0.97,0.00035000000000001696
bert,32,0.1,Accuracy,Spanisch,0.97,0.000749999999999973
bert,64,0.1,Accuracy,Spanisch,0.96,0.00020000000000003348
bert,16,0.15,Accuracy,Spanisch,0.97,0.0005000000000000004
bert,32,0.15,Accuracy,Spanisch,0.97,0.00020000000000003348
bert,64,0.15,Accuracy,Spanisch,0.96,0.0007000000000000339
bert,16,0.2,Accuracy,Spanisch,0.97,0.0005999999999999894
bert,32,0.2,Accuracy,Spanisch,0.97,0.000250000000000028
bert,64,0.2,Accuracy,Spanisch,0.96,9.999999999998899e-05
roberta,16,0.05,Accuracy,Spanisch,0.97,0.0005000000000000004
roberta,32,0.05,Accuracy,Spanisch,0.97,0.000250000000000028
roberta,64,0.05,Accuracy,Spanisch,0.96,0.00040000000000001146
roberta,16,0.1,Accuracy,Spanisch,0.97,0.0010000000000000009
roberta,32,0.1,Accuracy,Spanisch,0.97,0.0005999999999999894
roberta,64,0.1,Accuracy,Spanisch,0.97,0.0006499999999999839
roberta,16,0.15,Accuracy,Spanisch,0.97,9.999999999998899e-05
roberta,32,0.15,Accuracy,Spanisch,0.97,0.0015999999999999903
roberta,64,0.15,Accuracy,Spanisch,0.97,0.0009000000000000119
roberta,16,0.2,Accuracy,Spanisch,0.97,9.999999999998899e-05
roberta,32,0.2,Accuracy,Spanisch,0.97,0.0005999999999999894
roberta,64,0.2,Accuracy,Spanisch,0.97,0.0007500000000000284
multiflair,16,0.05,F1-Werte (micro),Alle Sprachen,0.67,0.022850000000000037
multiflair,32,0.05,F1-Werte (micro),Alle Sprachen,0.57,0.0034999999999999476
multiflair,64,0.05,F1-Werte (micro),Alle Sprachen,0.53,0.006400000000000017
multiflair,16,0.1,F1-Werte (micro),Alle Sprachen,0.73,0.0009500000000000064
multiflair,32,0.1,F1-Werte (micro),Alle Sprachen,0.67,0.01084999999999997
multiflair,64,0.1,F1-Werte (micro),Alle Sprachen,0.62,0.0044500000000000095
multiflair,16,0.15,F1-Werte (micro),Alle Sprachen,0.75,0.006799999999999973
multiflair,32,0.15,F1-Werte (micro),Alle Sprachen,0.71,0.006449999999999956
multiflair,64,0.15,F1-Werte (micro),Alle Sprachen,0.64,0.012649999999999995
multiflair,16,0.2,F1-Werte (micro),Alle Sprachen,0.77,0.00040000000000001146
multiflair,32,0.2,F1-Werte (micro),Alle Sprachen,0.73,0.009750000000000036
multiflair,64,0.2,F1-Werte (micro),Alle Sprachen,0.68,0.0026499999999999857
bert,16,0.05,F1-Werte (micro),Alle Sprachen,0.79,0.0030000000000000027
bert,32,0.05,F1-Werte (micro),Alle Sprachen,0.77,0.00029999999999996696
bert,64,0.05,F1-Werte (micro),Alle Sprachen,0.74,0.0010999999999999899
bert,16,0.1,F1-Werte (micro),Alle Sprachen,0.8,0.0014500000000000068
bert,32,0.1,F1-Werte (micro),Alle Sprachen,0.8,0.0017500000000000293
bert,64,0.1,F1-Werte (micro),Alle Sprachen,0.77,0.0018999999999999573
bert,16,0.15,F1-Werte (micro),Alle Sprachen,0.81,0.003149999999999986
bert,32,0.15,F1-Werte (micro),Alle Sprachen,0.8,0.003950000000000009
bert,64,0.15,F1-Werte (micro),Alle Sprachen,0.78,0.004850000000000021
bert,16,0.2,F1-Werte (micro),Alle Sprachen,0.81,0.0022999999999999687
bert,32,0.2,F1-Werte (micro),Alle Sprachen,0.81,0.0040000000000000036
bert,64,0.2,F1-Werte (micro),Alle Sprachen,0.79,0.0025000000000000022
roberta,16,0.05,F1-Werte (micro),Alle Sprachen,0.79,0.0014000000000000123
roberta,32,0.05,F1-Werte (micro),Alle Sprachen,0.78,0.0012499999999999734
roberta,64,0.05,F1-Werte (micro),Alle Sprachen,0.75,0.00030000000000002247
roberta,16,0.1,F1-Werte (micro),Alle Sprachen,0.8,0.006900000000000017
roberta,32,0.1,F1-Werte (micro),Alle Sprachen,0.79,0.0045499999999999985
roberta,64,0.1,F1-Werte (micro),Alle Sprachen,0.78,0.0005000000000000004
roberta,16,0.15,F1-Werte (micro),Alle Sprachen,0.82,0.0015499999999999958
roberta,32,0.15,F1-Werte (micro),Alle Sprachen,0.8,0.009199999999999986
roberta,64,0.15,F1-Werte (micro),Alle Sprachen,0.79,0.006800000000000028
roberta,16,0.2,F1-Werte (micro),Alle Sprachen,0.81,0.0005000000000000004
roberta,32,0.2,F1-Werte (micro),Alle Sprachen,0.81,0.0018500000000000183
roberta,64,0.2,F1-Werte (micro),Alle Sprachen,0.8,0.006850000000000023
multiflair,16,0.05,Precision,Alle Sprachen,0.78,0.010149999999999992
multiflair,32,0.05,Precision,Alle Sprachen,0.72,0.0019000000000000128
multiflair,64,0.05,Precision,Alle Sprachen,0.7,0.006399999999999961
multiflair,16,0.1,Precision,Alle Sprachen,0.8,0.00030000000000002247
multiflair,32,0.1,Precision,Alle Sprachen,0.77,0.008500000000000008
multiflair,64,0.1,Precision,Alle Sprachen,0.75,0.007199999999999984
multiflair,16,0.15,Precision,Alle Sprachen,0.81,0.0011000000000000454
multiflair,32,0.15,Precision,Alle Sprachen,0.8,0.0015499999999999958
multiflair,64,0.15,Precision,Alle Sprachen,0.76,0.006749999999999978
multiflair,16,0.2,Precision,Alle Sprachen,0.81,0.0021499999999999853
multiflair,32,0.2,Precision,Alle Sprachen,0.79,0.0020499999999999963
multiflair,64,0.2,Precision,Alle Sprachen,0.78,0.0015999999999999903
bert,16,0.05,Precision,Alle Sprachen,0.83,0.0015499999999999958
bert,32,0.05,Precision,Alle Sprachen,0.81,0.0016499999999999848
bert,64,0.05,Precision,Alle Sprachen,0.79,0.0021999999999999797
bert,16,0.1,Precision,Alle Sprachen,0.83,0.00040000000000001146
bert,32,0.1,Precision,Alle Sprachen,0.83,0.0011500000000000399
bert,64,0.1,Precision,Alle Sprachen,0.81,0.0016000000000000458
bert,16,0.15,Precision,Alle Sprachen,0.84,0.0010999999999999899
bert,32,0.15,Precision,Alle Sprachen,0.84,0.003899999999999959
bert,64,0.15,Precision,Alle Sprachen,0.82,0.0034500000000000086
bert,16,0.2,Precision,Alle Sprachen,0.84,0.0013000000000000234
bert,32,0.2,Precision,Alle Sprachen,0.84,0.0025499999999999967
bert,64,0.2,Precision,Alle Sprachen,0.83,0.00269999999999998
roberta,16,0.05,Precision,Alle Sprachen,0.83,0.0018500000000000183
roberta,32,0.05,Precision,Alle Sprachen,0.82,0.002599999999999991
roberta,64,0.05,Precision,Alle Sprachen,0.81,0.004300000000000026
roberta,16,0.1,Precision,Alle Sprachen,0.84,0.002999999999999947
roberta,32,0.1,Precision,Alle Sprachen,0.83,0.0029000000000000137
roberta,64,0.1,Precision,Alle Sprachen,0.83,0.0014000000000000123
roberta,16,0.15,Precision,Alle Sprachen,0.85,0.0020000000000000018
roberta,32,0.15,Precision,Alle Sprachen,0.84,0.003950000000000009
roberta,64,0.15,Precision,Alle Sprachen,0.83,0.004599999999999993
roberta,16,0.2,Precision,Alle Sprachen,0.85,0.0
roberta,32,0.2,Precision,Alle Sprachen,0.84,0.0026499999999999857
roberta,64,0.2,Precision,Alle Sprachen,0.83,0.003500000000000003
multiflair,16,0.05,Recall,Alle Sprachen,0.59,0.02955000000000002
multiflair,32,0.05,Recall,Alle Sprachen,0.47,0.005599999999999994
multiflair,64,0.05,Recall,Alle Sprachen,0.43,0.005950000000000011
multiflair,16,0.1,Recall,Alle Sprachen,0.67,0.0014500000000000068
multiflair,32,0.1,Recall,Alle Sprachen,0.59,0.011899999999999966
multiflair,64,0.1,Recall,Alle Sprachen,0.53,0.0028499999999999637
multiflair,16,0.15,Recall,Alle Sprachen,0.7,0.011099999999999999
multiflair,32,0.15,Recall,Alle Sprachen,0.65,0.009500000000000008
multiflair,64,0.15,Recall,Alle Sprachen,0.55,0.01529999999999998
multiflair,16,0.2,Recall,Alle Sprachen,0.73,0.0025000000000000022
multiflair,32,0.2,Recall,Alle Sprachen,0.67,0.015100000000000002
multiflair,64,0.2,Recall,Alle Sprachen,0.61,0.0031500000000000417
bert,16,0.05,Recall,Alle Sprachen,0.76,0.004249999999999976
bert,32,0.05,Recall,Alle Sprachen,0.73,0.0008000000000000229
bert,64,0.05,Recall,Alle Sprachen,0.69,0.00024999999999997247
bert,16,0.1,Recall,Alle Sprachen,0.77,0.0024000000000000132
bert,32,0.1,Recall,Alle Sprachen,0.76,0.0023000000000000242
bert,64,0.1,Recall,Alle Sprachen,0.73,0.0021999999999999797
bert,16,0.15,Recall,Alle Sprachen,0.78,0.0049000000000000155
bert,32,0.15,Recall,Alle Sprachen,0.78,0.003950000000000009
bert,64,0.15,Recall,Alle Sprachen,0.75,0.005950000000000011
bert,16,0.2,Recall,Alle Sprachen,0.78,0.003149999999999986
bert,32,0.2,Recall,Alle Sprachen,0.78,0.005199999999999982
bert,64,0.2,Recall,Alle Sprachen,0.76,0.0023500000000000187
roberta,16,0.05,Recall,Alle Sprachen,0.76,0.0010000000000000009
roberta,32,0.05,Recall,Alle Sprachen,0.74,0.00014999999999998348
roberta,64,0.05,Recall,Alle Sprachen,0.7,0.0028000000000000247
roberta,16,0.1,Recall,Alle Sprachen,0.77,0.010149999999999992
roberta,32,0.1,Recall,Alle Sprachen,0.76,0.005849999999999966
roberta,64,0.1,Recall,Alle Sprachen,0.74,0.00035000000000001696
roberta,16,0.15,Recall,Alle Sprachen,0.79,0.0011999999999999789
roberta,32,0.15,Recall,Alle Sprachen,0.77,0.013650000000000051
roberta,64,0.15,Recall,Alle Sprachen,0.75,0.008550000000000002
roberta,16,0.2,Recall,Alle Sprachen,0.78,0.0009000000000000119
roberta,32,0.2,Recall,Alle Sprachen,0.77,0.0011999999999999789
roberta,64,0.2,Recall,Alle Sprachen,0.76,0.009699999999999986
multiflair,16,0.05,Accuracy,Alle Sprachen,0.94,0.0032500000000000306
multiflair,32,0.05,Accuracy,Alle Sprachen,0.93,0.0005499999999999949
multiflair,64,0.05,Accuracy,Alle Sprachen,0.92,0.0008000000000000229
multiflair,16,0.1,Accuracy,Alle Sprachen,0.95,0.000250000000000028
multiflair,32,0.1,Accuracy,Alle Sprachen,0.94,0.0014500000000000068
multiflair,64,0.1,Accuracy,Alle Sprachen,0.94,0.00039999999999995595
multiflair,16,0.15,Accuracy,Alle Sprachen,0.96,0.0011000000000000454
multiflair,32,0.15,Accuracy,Alle Sprachen,0.95,0.0012499999999999734
multiflair,64,0.15,Accuracy,Alle Sprachen,0.94,0.0018500000000000183
multiflair,16,0.2,Accuracy,Alle Sprachen,0.96,0.000150000000000039
multiflair,32,0.2,Accuracy,Alle Sprachen,0.95,0.0017500000000000293
multiflair,64,0.2,Accuracy,Alle Sprachen,0.95,0.00030000000000002247
bert,16,0.05,Accuracy,Alle Sprachen,0.96,0.0005999999999999894
bert,32,0.05,Accuracy,Alle Sprachen,0.96,4.999999999999449e-05
bert,64,0.05,Accuracy,Alle Sprachen,0.95,0.0
bert,16,0.1,Accuracy,Alle Sprachen,0.96,0.00035000000000001696
bert,32,0.1,Accuracy,Alle Sprachen,0.96,0.00029999999999996696
bert,64,0.1,Accuracy,Alle Sprachen,0.96,0.000250000000000028
bert,16,0.15,Accuracy,Alle Sprachen,0.97,0.0005999999999999894
bert,32,0.15,Accuracy,Alle Sprachen,0.97,0.0005999999999999894
bert,64,0.15,Accuracy,Alle Sprachen,0.96,0.0007500000000000284
bert,16,0.2,Accuracy,Alle Sprachen,0.97,0.00029999999999996696
bert,32,0.2,Accuracy,Alle Sprachen,0.97,0.0005999999999999894
bert,64,0.2,Accuracy,Alle Sprachen,0.96,0.00045000000000000595
roberta,16,0.05,Accuracy,Alle Sprachen,0.96,0.00019999999999997797
roberta,32,0.05,Accuracy,Alle Sprachen,0.96,9.999999999998899e-05
roberta,64,0.05,Accuracy,Alle Sprachen,0.96,0.0
roberta,16,0.1,Accuracy,Alle Sprachen,0.96,0.0010999999999999899
roberta,32,0.1,Accuracy,Alle Sprachen,0.96,0.0007000000000000339
roberta,64,0.1,Accuracy,Alle Sprachen,0.96,0.0001000000000000445
roberta,16,0.15,Accuracy,Alle Sprachen,0.97,0.00014999999999998348
roberta,32,0.15,Accuracy,Alle Sprachen,0.96,0.0016499999999999848
roberta,64,0.15,Accuracy,Alle Sprachen,0.96,0.0010000000000000009
roberta,16,0.2,Accuracy,Alle Sprachen,0.97,4.999999999999449e-05
roberta,32,0.2,Accuracy,Alle Sprachen,0.97,0.000250000000000028
roberta,64,0.2,Accuracy,Alle Sprachen,0.96,0.0011499999999999844
