Model,Batch,Alpha,Eval,Lang,Average,Std
roberta,64,0.1,F1-Werte (micro),Deutsch,0.73,0.006899999999999962
roberta,16,0.15,F1-Werte (micro),Deutsch,0.78,0.005500000000000005
roberta,32,0.15,F1-Werte (micro),Deutsch,0.75,0.01319999999999999
roberta,64,0.15,F1-Werte (micro),Deutsch,0.74,0.012749999999999984
roberta,16,0.2,F1-Werte (micro),Deutsch,0.77,0.0009500000000000064
roberta,32,0.2,F1-Werte (micro),Deutsch,0.76,0.002850000000000019
roberta,64,0.2,F1-Werte (micro),Deutsch,0.75,0.00874999999999998
multiflair,16,0.05,Precision,Deutsch,0.64,0.011149999999999993
multiflair,32,0.05,Precision,Deutsch,0.57,0.009199999999999986
multiflair,64,0.05,Precision,Deutsch,0.54,0.00830000000000003
multiflair,16,0.1,Precision,Deutsch,0.67,0.0018500000000000183
multiflair,32,0.1,Precision,Deutsch,0.63,0.008349999999999969
multiflair,64,0.1,Precision,Deutsch,0.62,0.007800000000000029
multiflair,16,0.15,Precision,Deutsch,0.68,0.004850000000000021
multiflair,32,0.15,Precision,Deutsch,0.66,0.0022500000000000298
multiflair,64,0.15,Precision,Deutsch,0.63,0.005449999999999955
multiflair,16,0.2,Precision,Deutsch,0.67,0.00934999999999997
multiflair,32,0.2,Precision,Deutsch,0.66,0.006699999999999984
multiflair,64,0.2,Precision,Deutsch,0.64,0.0025000000000000022
bert,16,0.05,Precision,Deutsch,0.72,0.01094999999999996
bert,32,0.05,Precision,Deutsch,0.71,0.007349999999999968
bert,64,0.05,Precision,Deutsch,0.67,0.0015499999999999958
bert,16,0.1,Precision,Deutsch,0.73,0.0015499999999999958
bert,32,0.1,Precision,Deutsch,0.73,0.004750000000000032
bert,64,0.1,Precision,Deutsch,0.7,0.003500000000000003
bert,16,0.15,Precision,Deutsch,0.74,0.0031500000000000417
bert,32,0.15,Precision,Deutsch,0.74,0.008850000000000025
bert,64,0.15,Precision,Deutsch,0.72,0.0040000000000000036
bert,16,0.2,Precision,Deutsch,0.75,0.00045000000000000595
bert,32,0.2,Precision,Deutsch,0.74,0.012699999999999989
bert,64,0.2,Precision,Deutsch,0.72,0.005349999999999966
roberta,16,0.05,Precision,Deutsch,0.75,0.00545000000000001
roberta,32,0.05,Precision,Deutsch,0.73,9.999999999998899e-05
roberta,64,0.05,Precision,Deutsch,0.72,0.005149999999999988
roberta,16,0.1,Precision,Deutsch,0.77,0.003300000000000025
roberta,32,0.1,Precision,Deutsch,0.75,0.005800000000000027
roberta,64,0.1,Precision,Deutsch,0.74,0.00824999999999998
roberta,16,0.15,Precision,Deutsch,0.78,0.005699999999999983
roberta,32,0.15,Precision,Deutsch,0.76,0.009650000000000047
roberta,64,0.15,Precision,Deutsch,0.75,0.010599999999999998
roberta,16,0.2,Precision,Deutsch,0.78,0.00035000000000001696
roberta,32,0.2,Precision,Deutsch,0.77,0.003500000000000003
roberta,64,0.2,Precision,Deutsch,0.75,0.003699999999999981
multiflair,16,0.05,Recall,Deutsch,0.42,0.02124999999999999
multiflair,32,0.05,Recall,Deutsch,0.32,0.0011499999999999844
multiflair,64,0.05,Recall,Deutsch,0.29,0.007950000000000013
