Model,Batch,Alpha,Eval,Lang,SingleMulti,Average,Std
multiflair,16,0.2,Precision,Spanisch,Multi,0.7894,0.01
multiflair,16,0.2,Precision,Spanisch,Single,0.8037,9.999999999998899e-05
bert,16,0.2,Precision,Spanisch,Multi,0.7851,0.0075
bert,16,0.2,Precision,Spanisch,Single,0.82325,0.0015499999999999958
roberta,16,0.15,Precision,Spanisch,Multi,0.7964,0.0012
roberta,16,0.15,Precision,Spanisch,Single,0.8261000000000001,0.002599999999999991
multiflair,16,0.2,Recall,Spanisch,Multi,0.6854,0.003
multiflair,16,0.2,Recall,Spanisch,Single,0.74675,0.002950000000000008
bert,16,0.2,Recall,Spanisch,Multi,0.729,0.0065
bert,16,0.2,Recall,Spanisch,Single,0.7697499999999999,0.008250000000000035
roberta,16,0.15,Recall,Spanisch,Multi,0.7733,0.0012
roberta,16,0.15,Recall,Spanisch,Single,0.7769,0.005900000000000016
multiflair,16,0.2,Accuracy,Spanisch,Multi,0.9628,0.0003
multiflair,16,0.2,Accuracy,Spanisch,Single,0.9694,0.00030000000000002247
bert,16,0.2,Accuracy,Spanisch,Multi,0.9659,0.0006
bert,16,0.2,Accuracy,Spanisch,Single,0.9723,0.0010000000000000009
roberta,16,0.15,Accuracy,Spanisch,Multi,0.9709,0.0001
roberta,16,0.15,Accuracy,Spanisch,Single,0.9724999999999999,0.0006999999999999784
